name;title;company;email;linkedin_url;source;score;google_reviews_count;city;trade;personalization_line_1;personalization_line_2;personalization_line_3;outreach_channel;priority
ALT EAU;Gérant;ALT EAU;;https://www.linkedin.com/search/results/people/?keywords=ALT+EAU+Anet;obat.fr/plombier;87;0;Anet (28260);Plombier;ALT EAU à Anet : 0 avis Google dans une ville touristique (Château d'Anet) — les visiteurs et nouveaux résidents cherchent des artisans sur Maps.;Anet attire des résidents secondaires et primo-accédants : votre absence sur Maps vous coûte ces clients à fort pouvoir d'achat.;Notre méthode transforme vos clients locaux actuels en ambassadeurs Google Maps — premiers résultats en 24-48h.;cold_email;HAUTE
FOUREAU;Gérant;FOUREAU Plomberie;;https://www.linkedin.com/search/results/people/?keywords=FOUREAU+plomberie+La+Loupe;obat.fr/plombier;85;0;La Loupe (28240);Plombier;FOUREAU à La Loupe : 0 avis Google dans le Perche, zone où la concurrence est faible — vous pourriez dominer Maps avec seulement 8-10 avis.;Les artisans du Perche avec des avis Google captent aussi les demandes de Nogent-le-Rotrou et des villages environnants.;Coût de notre Kit Express : 49€ pour 10 avis. Valeur d'un chantier supplémentaire par mois : souvent 500-2000€. ROI immédiat.;cold_email;NORMALE
CHALVIGNAC MULTISERVICES;Gérant;CHALVIGNAC MULTISERVICES;;https://www.linkedin.com/search/results/people/?keywords=CHALVIGNAC+MULTISERVICES+Le+Gault-Saint-Denis;obat.fr/plombier;84;0;Le Gault-Saint-Denis (28800);Multi-services;CHALVIGNAC MULTISERVICES : 0 avis Google pour une entreprise multi-services — c'est pourtant votre vitrine la plus consultée avant tout appel.;Les multi-services avec des avis Google ont un avantage concurrentiel fort car ils captent plusieurs requêtes simultanées (plombier + électricien + peintre).;Je peux vous aider à structurer une stratégie d'avis qui couvre toutes vos prestations en une seule fiche optimisée.;cold_email;NORMALE
EIAB;Gérant;EIAB;;https://www.linkedin.com/search/results/people/?keywords=EIAB+Illiers-Combray;obat.fr/plombier;83;0;Illiers-Combray (28120);Plombier;EIAB à Illiers-Combray (pays de Proust) : 0 avis Google dans une ville où la concurrence artisanale est limitée — vous pouvez dominer facilement.;Illiers-Combray reçoit des touristes et des propriétaires de maisons secondaires : une fiche Maps optimisée capte ces clients saisonniers.;Notre méthode psychologique 2026 fonctionne même dans les petites communes — résultats garantis ou remboursement 24h.;cold_email;NORMALE
BESNARD ELEC;Gérant;Besnard Elec;;https://www.linkedin.com/search/results/people/?keywords=Besnard+Elec+Bercheres-les-Pierres;obat.fr/electricien;83;0;Berchères-les-Pierres (28630);Électricien;Besnard Elec dans la couronne de Chartres : 0 avis Google alors que les habitants de Berchères recherchent des électriciens locaux sur Maps plutôt qu'à Chartres.;Avec votre localisation, vous pouvez capter les recherches "électricien proche Chartres" qui évitent le centre-ville — mais seulement si vous avez des avis.;Diagnostic gratuit en 60 secondes : voyons ensemble votre potentiel de visibilité sur Maps cette semaine.;cold_email;NORMALE
AMENAGEMENT PLOMBERIE SANITAIRES 28;Gérant;AMENAGEMENT PLOMBERIE SANITAIRES 28;;https://www.linkedin.com/search/results/people/?keywords=AMENAGEMENT+PLOMBERIE+SANITAIRES+28+Chartres;societe.com;80;0;Chartres (28000);Plombier/Sanitaire;Entreprise spécialisée sanitaires à Chartres : sans avis Google, vous perdez les leads "installation sanitaire Chartres" au profit de concurrents moins spécialisés.;La spécialisation sanitaire est un argument fort — mais seulement si vos clients satisfaits le disent sur Google Maps.;10 avis mentionnant votre expertise sanitaire = un signal fort pour l'algorithme Google et pour les prospects qui vous comparent.;cold_email;NORMALE
VERNIZEAU COUVERTURE;Gérant;VERNIZEAU COUVERTURE;;https://www.linkedin.com/search/results/people/?keywords=VERNIZEAU+COUVERTURE+Dreux;societe.com;79;0;Dreux (28100);Couvreur;VERNIZEAU COUVERTURE à Dreux : la couverture est un métier à fort ticket moyen — chaque chantier perdu faute de visibilité Maps coûte 3000-8000€.;Les recherches "couvreur Dreux" sont rares mais très qualifiées : quelques avis suffisent pour être contacté en priorité.;Notre Pack PRO (179€) est pensé pour les artisans avec des tickets élevés : 10 avis stratégiques + suivi mensuel pendant 3 mois.;cold_email+linkedin;NORMALE
AF PLOMBERIE 28;Gérant;AF PLOMBERIE 28;;https://www.linkedin.com/search/results/people/?keywords=AF+PLOMBERIE+28+Chartres;societe.com;78;0;Chartres (28000);Plombier;AF Plomberie 28 à Chartres : marché concurrentiel, 0 avis — les plombiers avec 15+ avis captent l'essentiel des demandes Maps en centre-ville.;Le bouton "Appeler" directement sur Google Maps (36% des clients l'utilisent) ne s'affiche qu'aux fiches avec des avis récents et nombreux.;Diagnostic gratuit : je vous montre en 60 secondes ce que vous perdez chaque semaine vs vos concurrents les mieux notés.;cold_email;NORMALE
GAZ DEPANNAGE 28;Gérant;Gaz Dépannage 28;;https://www.linkedin.com/search/results/people/?keywords=Gaz+Depannage+28+Chartres;recherche_web;72;5;Luisant/Dreux (28);Plombier/Chauffagiste;Gaz Dépannage 28 : 30 professionnels, 2 agences (Luisant + Dreux) mais seulement 5 avis Google — un volume d'activité qui mérite une meilleure réputation en ligne.;Pour une entreprise de cette taille, 5 avis en 2026 c'est sous-performant : vos techniciens font des dizaines d'interventions par semaine.;Notre Pack PRO est conçu pour les structures multi-sites : stratégie d'avis coordonnée sur les 2 fiches Google simultanément.;cold_email;NORMALE
RÉNOV'DAYS;Gérant;Rénov'days;;https://www.linkedin.com/search/results/people/?keywords=Renovdays+Denonville;obat.fr/electricien;77;0;Denonville (28700);Électricien/Rénovation;Rénov'days à Denonville : entreprise de rénovation avec 0 avis Google dans la Beauce, zone en fort développement immobilier.;Les projets de rénovation démarrent quasi-systématiquement par une recherche Google Maps — sans avis, vous n'existez pas pour ces clients.;Notre méthode permet d'afficher vos premières réalisations via les avis clients — un portfolio gratuit visible par tous sur Maps.;cold_email;NORMALE
